published,ticker_yahoo,title,link,source,source_kind,matched_alias,sentiment_score,sentiment_label,sentiment_confidence,sentiment_reason,event_type,relevance_score,relevance_label,relevance_reason,is_relevant
2026-07-15 16:54:21,1U1.DE,Zweites WM-Halbfinale: Wann und wo läuft England - Argentinien im Free-TV? - 1&1,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOTFkxRlc2cnJubEZjaTZTY1BIc2J0MHY4aGE5X2lwWjFlVW9LeXB4b1h1YnJSOXRlbi13Q3dOZVp2cjdiY3dGWUVVUUowaHlvODNvdjlVSlQ4U3NfRTFOZGdyWWFvdnJQUWJWM0RjcThNOXk4MDdaWVNETEUteXFnYU44X1I3ZFdmQ0dUMFNWdEtqZzNqR1FEcXZoWUZKTzRPNU8zM0Uydm0?oc=5,Google News Suche: 1&1,search_fallback,1&1,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,52,niedrig,Firmenalias im Titel,False
2026-07-15 15:07:10,1U1.DE,EU streicht wehrfähigen Ukrainern den automatischen Schutzstatus - 1&1,https://news.google.com/rss/articles/CBMizAFBVV95cUxNNXRsUFA0Q1JyZlhYYVktRXg4UXRlbmJrOTVMQ0J1WXNydXN6bE81aUpfSENQcS14cGJnT2l1RUN5aXBNNmxmclVRTFJEM3lJWjRBR2lHc2JyMHdMZVFVVDJxUUh2VEtfcXg0eXZMMXoxdERYWmdIbDZvcWFLeWpsVEtNOU1lWEhIeU9DbFVlN2NoUXRUM1gxcGNYekFBZ2NJVVBBbDctRWNWZTdXWDFBZnRQczVGLW9KLUIxWUZWd01OYnRzUzVyVXFiVGE?oc=5,Google News Suche: 1&1,search_fallback,1&1,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,52,niedrig,Firmenalias im Titel,False
2026-07-15 14:19:04,1U1.DE,So sah Jenny Elvers zu Beginn ihrer Karriere aus - 1&1,https://news.google.com/rss/articles/CBMinwFBVV95cUxPQUFsY3d1WXByX3p1TVdZU0hVMVUzZ0xMWmxBcFQyakVWc2o5MlhPLVBqd1M2dnVYZ1lRenJJdjlqb0pIc3J6RENYVmp3QWRFNDAtVUpnOHMwc3pRcDR3Z2VGT3owYUFFM2tkQ1BER0ZxNkp1amRsOWFOaEF3UmJOWl80T0taaTh5eEVpTWRGd29TSjdCcGNMWWZ6Xzd2X2c?oc=5,Google News Suche: 1&1,search_fallback,1&1,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,52,niedrig,Firmenalias im Titel,False
2026-07-15 13:40:31,1U1.DE,Millionen betroffen: Diese Krankenkasse wird ab August teurer - 1&1,https://news.google.com/rss/articles/CBMitwFBVV95cUxNZE1nZ0VZVXRja0d2NGdDbGl3cVREcVFVUmdzSGJFeGFvTklSUC0yQkRuOHVpVGh0ZE9BdlVlYVU2TEYyeGdXQ1RseTNlaHFtanhNYnRzZnlneDdoc0NKQkdjd19IUmkyNThkbndLNm5nUXRCaGxxeFVyMTdvUG8zaHVySHdONmx1eDM3eHcyY2d6VkFXX29iU09pMXgtaVRkbGtHcjdBWWNwejJSTzhaRzJRMEVNdXM?oc=5,Google News Suche: 1&1,search_fallback,1&1,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,52,niedrig,Firmenalias im Titel,False
2026-07-15 13:26:55,1U1.DE,Heidi Klum trägt Kleid aus Fruchtgummischnüren - 1&1,https://news.google.com/rss/articles/CBMitAFBVV95cUxNeVFnNHlVbzMzcXM2N0FhTTlOdkcwT3BJNHVJTG9DTGx3bXFSSnVTY0tlM0c4TDg1T0RkMDlOdlBhRFRPaVV6UXlJNXZsSEJRWlFxd3gyUkZqdWdyQ3ZwSHhKVGVfWFFDNzlyaUk3SUhINmMxcDlyR1Q4NG11NFJyNi1uN1VHN0JyR2NZN0R6WTd4NGJiWThDRDhCQnVFNDVDYXJDdmhSVWliY0stajYwSVdqVEo?oc=5,Google News Suche: 1&1,search_fallback,1&1,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,52,niedrig,Firmenalias im Titel,False
2026-07-15 12:31:50,1U1.DE,Hagelberge in Reutlingen - Tausende ohne Strom - 1&1,https://news.google.com/rss/articles/CBMioAFBVV95cUxOTjZGbm1UanNSR0Y0Wkh4cHdqMjJrWEt0cXBxdTBCUDVvNlNDT2ZiV04zNlE5QUxOZHlvcUwteHdVbFhHdk9PS1c5RUFob3N3Z05iSk9rOUpsbHZRSlJMMTVOX3VXamxmaHBuRlp6TEE3bEdpTURESHdqNWpURDFEU3pTTVJJWW9nOF9DN1hDV1hOWWppTG5Ka2MwVXBmSWQ3?oc=5,Google News Suche: 1&1,search_fallback,1&1,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,52,niedrig,Firmenalias im Titel,False
2026-07-15 12:23:49,1U1.DE,Niagarafälle: Mann überlebt 52-Meter-Sturz - 1&1,https://news.google.com/rss/articles/CBMirgFBVV95cUxPaEJNREcxelAteUs2MGExc0ozUDNxNC1QYVN2dlhVM3hVUTU0aHRLa1QtM0lnMGhWaHZlcGxvZlpVSjVGeDltOE1lTEE1V2tnNFhuUWJza2dZSWlBRHJaQTFONy13d0FmUkFsY3JZUzFfaFhyRWJCVUIycHdqWDI5Mk9NakRiR0xFVi1IRlRNZDlPTmtzbVNkNFRKcDU3M21XbEdYcF9KQ1lJOS1MWGc?oc=5,Google News Suche: 1&1,search_fallback,1&1,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,52,niedrig,Firmenalias im Titel,False
2026-07-15 12:14:58,1U1.DE,"Zendaya begeistert bei ""Die Odyssee""-Premiere als Engel - 1&1",https://news.google.com/rss/articles/CBMisAFBVV95cUxNTWt1V1hGY0V0SDFLNnpLUks2ZzNyYlFZMDk5RGhrNDE5TmptbllTLWlteDY2Y3JTeVMySF8xOEk2N0ZuSG1yTzJPRGl0MFhoanZJRjh2dTZHbENJM3ZJNVFMdFE1SURmaWh3X2pJTy1nQTJsNklRQWo5X1ZGWWkwNk9abWZCY003QkNaeEVZR3N1UVhqWHN3aU45YzBCNTFWZnhEWFlyZzF3aTBCTFFXVw?oc=5,Google News Suche: 1&1,search_fallback,1&1,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,52,niedrig,Firmenalias im Titel,False
2026-07-15 12:13:18,1U1.DE,Glasfaser in Göttingen Ost: 1&1 schafft Wahlfreiheit für rund 5.800 Haushalte - Presseportal,https://news.google.com/rss/articles/CBMiWEFVX3lxTE9hX2FUZ2J0Z1VoMHg0VUJVR3VObDZJZHpTUUY0NXJvdjJhQTJ2bHY3eG8wbE5HUHpzVXVTM0hic3NueXFuZ1AyNnlGR2ZGeVNFdUNhcUNGSk0?oc=5,Google News Suche: 1&1,search_fallback,1&1,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,52,niedrig,Firmenalias im Titel,False
2026-07-15 12:05:00,1U1.DE,Keine Glasfaser zur WM: 1&1 akzeptiert Abmahnung - Teltarif,https://news.google.com/rss/articles/CBMijgFBVV95cUxOUGQ2RDItVklwaEdxSkNYSjdfSHppZ3pIZUx5amR1dHhsR0ZrRmxUWXdOaGdpNnpBTHZxd21JVzVaenEtN040Tnhsc3B6d3VrWVNfYXdXZmp5ZzhEa2pLbVRtYVlpYzAzdmUwcnQtVERaZXNlTExaMElyYVpKOTJHUUdRVVdaVmR0OS0ybU1n?oc=5,Google News Suche: 1&1,search_fallback,1&1,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,52,niedrig,Firmenalias im Titel,False
