published,ticker_yahoo,title,link,source,source_kind,matched_alias,sentiment_score,sentiment_label,sentiment_confidence,sentiment_reason,event_type,relevance_score,relevance_label,relevance_reason,is_relevant
2026-07-15 16:49:06,MMM,3M Sees Unusually Large Options Volume (NYSE:MMM) - MarketBeat,https://news.google.com/rss/articles/CBMiogFBVV95cUxNSTJEdlBUSV9VU2JxS3VLRjJ0SGl0aURyenZLM05UQ2k3cURsY2dwT2w4YWRUYkRqMWFXTWtNazlRMDNackV3SGxGT01SNENOcVU0aXVQR2J6RGp3dDZwUXQ1UHFZT3pEOFdiN0NLYW1zdFZxSTVEM2FpakVfUU5tWXlXMHpkUGc5cjBIOW4tT3VJeDFDaDdHU253VnZuQXlJa1E?oc=5,Google News Suche: 3M Company,search_fallback,3M,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,52,niedrig,Firmenalias im Titel,False
2026-07-15 16:41:52,MMM,3M Expands AI Push with Microsoft Azure Data Center Partnership - Benzinga,https://news.google.com/rss/articles/CBMivgFBVV95cUxNeWZ3Zmd0NElBMVdYZlUzcS1kVC1DY0l1UG9TQmQ4TlBRVGVsRGxVZ016VTk4V3g2dHlYNnR4dmtLR01rMU5wOW9Pc1hodHJGQUUwOGF3eHlweVJ2bDVkMXlYeXNGSmdkOXlsa0Q5TVRwWEdDUlg0eU13Zy03dlhJZ1htY3drV3dhYWxTcUhEWTlRSTVYWTh5dGhoZkIydTRoRFMteEYtQ2ZHTTJBUDIxV1pPa3VXamkyMnBaVm5B?oc=5,Google News Suche: 3M Company,search_fallback,3M,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,52,niedrig,Firmenalias im Titel,False
2026-07-15 15:38:36,MMM,3M Company and Microsoft Corporation Announce Strategic Partnership To Advance AI Data Center Infrastructure And Enterprise Transformation - marketscreener.com,https://news.google.com/rss/articles/CBMi6AFBVV95cUxOeHQ3bTcxd1AwMzFPZUNPVzNmZmUyczJZbW5Od0g3d0JPeXV6MWJfYnNNRlZDcUNCX1hwZjVycEFPcllReVBCTDV5TThEUFBpM3BBMElKMFJvSkxsTEhBbzU0RExleGdTZUNIS2F0eDNxa2FNaFZQRVNWQkJqS0daUmhiUnJVUXdtLW1BUFZLdWRDZ1E4dU15RjFWN1JXLW10MXRmRXh0ejRLQTRBZzlRd3ZmWlE5QUpnTlVVVDhRY0N0OGFORTVMM0ZxRGpRTUxuWG56UTRoODFRdHVKcWI4a0x6RW5iTzdf?oc=5,Google News Suche: 3M Company,search_fallback,3M Company,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,82,mittel,Firmenalias im Titel,True
2026-07-15 14:12:22,MMM,3M edges up after partnering with Microsoft to develop AI infrastructure - Seeking Alpha,https://news.google.com/rss/articles/CBMirwFBVV95cUxORmhmc3B5YTJhWUtfNl8xc0R0M29CZEdtVnVlaHFXYjNJYWhjVUtUV2JLQ2Y5azRnMTdsVnA1dG5wX1loNVAwVUN5MEtEVU5GSGVMZk5peVJoWmJZWnhzb0ZydnFfRHd0Um1nX2xlVnJfejVvbzBBeUdrOE9TLUdrVUhZck80Nmc0cF9yQXByYS1FYlVSNUZBb3d5cTFCZjNIcVZSY1puRVVTejN2em5F?oc=5,Google News Suche: 3M Company,search_fallback,3M,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,52,niedrig,Firmenalias im Titel,False
2026-07-15 13:38:23,MMM,"3M, Microsoft Partner on AI Adoption - marketscreener.com",https://news.google.com/rss/articles/CBMikgFBVV95cUxPSkJWSllubWs2RGU5YXFrQkZCeG5kelZnSHpLX1VCMW9jODB0VFZiQlBsRDFXRlEzVXVwbnp3Rkx6TTk4Mmk2dW1oNDk3MnBpZUxCRk1UN3JVdWl5T01oN0N4RU1hbzU5NUNhVU5vbC1uOGVOendKazdlcmtzOGNQSDFUX1M5UlpISlFzRzV2b1Vidw?oc=5,Google News Suche: 3M Company,search_fallback,3M,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,52,niedrig,Firmenalias im Titel,False
2026-07-15 13:01:00,MMM,3M and Microsoft announce strategic partnership to advance AI data center infrastructure and enterprise transformation - goSkagit,https://news.google.com/rss/articles/CBMingJBVV95cUxPb3M4TXVyc3dXOFhlTDJ4cmFMUV8tRzl0RHFjejZMZXJfbGNzS3pUMnRBb1pjVURwbTM2TnJmWVQyNFhNN09EQk9qcGlfbjhtXzlfRU1HbGhPUy1Ub2hQd1BteGc1dFk3TEJYdm5URU1kRFh2NXlPOTVGcUF1dGp6SS1DYmRXU0JjU2VFdnhidHZBNDlmbWJ4dVUzUW1scTRzT0oxNlR6cHBCbnhDdFBXMU5PSkdxWkc0ZVR3TnVaOFl3QTRBNXdUX3lVYUNsTkRxQkpjbGVyMEI1OWJuOFFvYnpnWlp2dWpqdkpxMi1OMXFjVHBmYmJWdjEwWHZZamlDM3FoNTlKdm9fNmc0cVFDV3BHWGg5cm1FYW1KamdR?oc=5,Google News Suche: 3M Company,search_fallback,3M,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,52,niedrig,Firmenalias im Titel,False
2026-07-15 07:03:52,MMM,3M PELTOR X4A ear defenders by 3M Company - slim design for high-noise work - Ad-hoc-news.de,https://news.google.com/rss/articles/CBMixgFBVV95cUxNNGtZVjV6OUlLQUEtdWhXajRFVEJNeGt0UGdheF9QbVRLYVNLeVdhaW1yckJ1OG9kSHl5MjJSdkloWVpTUnFZVk8yUjIycVRYbGt5ZEdiX1dTNWZIRDByTF9GODhlZ3J3RHZhSmdrU1NkQjhjSEdqZzM4X0FZazItSWZqZFFaM0JpczdZUnlsZmgzTXVoTHlSbmJMZW5ZdC10MEZMYkpQdXYzMHNrcEVVRXl1dE1NSFBfcy1IRVhjcDl3d3RiWGc?oc=5,Google News Suche: 3M Company,search_fallback,3M Company,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,82,mittel,Firmenalias im Titel,True
2026-07-14 20:08:00,MMM,"Lobbying Update: $180,000 of 3M COMPANY lobbying was just disclosed - Quiver Quantitative",https://news.google.com/rss/articles/CBMiqgFBVV95cUxOUUJKNzJjRFpzY0Jxa2JnOTFkeWRzOVBmXzhFLVN1MnRIVzVjY3Q2TXVPaUdhdHhtcl9QYmNOWF9IRGk1Z3ZOclA4WktmR0dQVUVvZmxtZlBMWVdseHhpeWlIZnBGSTRvTnVObW1ZM2o1bk5fV2t4cnZLMjAzZmt1emxmWUFESVdNQ3pJbUthRjBqc0k1VjZtMTFsT2J2U2dvMXdKeVVWSVAxZw?oc=5,Google News Suche: 3M Company,search_fallback,3M Company,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,82,mittel,Firmenalias im Titel,True
2026-07-14 13:03:13,MMM,3M stock holds steady as diversified business supports long-term outlook - Ad-hoc-news.de,https://news.google.com/rss/articles/CBMiywFBVV95cUxQbDVTdFVCdW9obUc3UjhwS0JOa0lpeTJvS3dsNG95cEw1Z0JEMDBOMjR6T3k1UHBBdXB0UnJiVmNtb0FYZVZvaThfazlibU9TXzRhM2NmcWV0eGVxVVpGT1RBQ2YtUC1zOUtiNnJxX05SUU5tTHZXc0ZYQ054bFhIbnJHRzJRamhiMXZFNDN6bjFHZ0syQnFna2JZdkoxeHNDbUtnR2hVazZCdFdJVUxWRUh0SXhreTZmemotY1M4ZHh4ZDlnYTgyRGFZOA?oc=5,Google News Suche: 3M Company,search_fallback,3M,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,71,mittel,Firmenalias im Titel · Finanz-/Unternehmenskontext: stock,True
2026-07-14 02:08:16,MMM,3M Company stock shows steady resilience as diversified business supports long-term outlook - Ad-hoc-news.de,https://news.google.com/rss/articles/CBMizAFBVV95cUxPTXhBQmdURUNDQ0F4WDBWR0VyU0pLRV9QYzFZM3lVNzVPZnhycVVEZ2N2UUtNQVlqODh6RmxybzFUYWJjbFZHUkc5YV9vU1BRMDIweDJTVG9nWl9lWDdta0VoOFkxVUlnZG1rT192TUQyTEpPcUVXckpXd3l0bU1EMVJxeGNsOG1Kek5vNXJrTzFTQ3FVcG9hQ1haR3Y2dlUyYXJzdzl6MkU5NlpsbmhDX0JKOXFjQXpVdUxtRVphRG9vV3pHbG5SdGt5N0s?oc=5,Google News Suche: 3M Company,search_fallback,3M Company,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,89,hoch,Firmenalias im Titel · Finanz-/Unternehmenskontext: stock,True
