published,ticker_yahoo,title,link,source,source_kind,matched_alias,sentiment_score,sentiment_label,sentiment_confidence,sentiment_reason,event_type,relevance_score,relevance_label,relevance_reason,is_relevant
2026-07-15 11:04:10,VOW3.DE,Weltpremiere des neuen ID. Cross: Premium-Klasse im Kompakt-Format - volkswagen-group.com,https://news.google.com/rss/articles/CBMitAFBVV95cUxQNXNoSGJEdV9qOTc2MUM4M09IdXZCRlJZYmdvWWpGZWhqczJvNzNfM3ptanh1dEYzZ2pYMVFMTjZkdjRkYWR1WnMydEZnX0RyWUpldGdWdmZobUJJRXlLbzhuRWFCczNWWHVTVzRlMWlrZkE1YVh3UnZXZ0s1WGprbFJ2ZXZobXFhbFdwNDNzelVIbVdPRk9CVVBVSk1QaXh3WndBWFBvUmhaODl6ckQ0cFRjSGY?oc=5,Google News Suche: Volkswagen Group,search_fallback,Volkswagen Group,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,82,mittel,Firmenalias im Titel,True
2026-07-14 18:29:44,VOW3.DE,VW stock tracks a steady business backdrop - Ad-hoc-news.de,https://news.google.com/rss/articles/CBMiowFBVV95cUxORjh2dVB1LUFvMUJNZE1pRTEzU21xeWZXS0lPZWFEdFhvT0YtUldLLWU1YVg2NndUdGlTSVVLQTh3VW9VREUwZnd5ZEM5MFNzbGZLUjdaelpjc05KOW9rOHJqbUZwU0dURmJvdnVmczQ4SVo1LVN2X0FtbmpUZ3JsNEg0VVY0ZmstVTAzaElZN3FaYkxpWmZ2VDYzd2RIeVZqa2FB?oc=5,Google News Suche: Volkswagen Group,search_fallback,VW,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,71,mittel,Firmenalias im Titel · Finanz-/Unternehmenskontext: stock,True
2026-07-14 05:24:00,VOW3.DE,"Jetzt wird klar, wie schlimm es um Volkswagen wirklich steht - inside digital",https://news.google.com/rss/articles/CBMimgFBVV95cUxNbWhZMWF3SG9NanV3eFFUNnJwQkJNUnpPbUNkb1c0SHdFQVpYRlBoMXB5a3d2LWlZR1FpWVo3VFdORVN0WjltVkgxd1FPLTkydUpSZ1RnUXNLeDhManJTRGxEM2hZdFRaekpNZTh2VWNWYzhXaTcxckF3dHpEcEdSTWtyNWMzUUU2UFowYzNKY2s5VFlqcWNZRlVB0gGfAUFVX3lxTE9HWWExa3VZMVZnNjhMYXhXZXdhekJlelN4Y091bDcweWNCTGNnS2dzR1o3eWZHNE1FaWxoMEh2VGdkNldpeEVPZU5Rb1AxNURaeTY1QTJfcHFIRjQ0Wk9POTRlNkZzTFV4aEJUOEJCTy1ycVBKRjdrQlFkT01EdGc4aG44NFpSb1dHRENQcDJYTUhNbkN0QTZkOTdSc3RQTQ?oc=5,Google News Suche: Volkswagen Group,search_fallback,Volkswagen,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,82,mittel,Firmenalias im Titel,True
2026-07-13 14:02:14,VOW3.DE,"Diese Modelle stehen bei VW, Audi und Co. auf der Kippe - Blick",https://news.google.com/rss/articles/CBMizgFBVV95cUxPemtKWTlDVkV1WjJlS3psOUFFSDZ6VjZGajUyZjZwWFlSSHU5bWNLbC1Ua2Z2WFlzcHQ4ZDNmZDVPTFhoaXF0cmdSU05wcGJzSlNjVk9SVXhNVW9xZEpXU0pGcU1WSlIzWWVsVmxzS1ZOSlI4NkI2NTNfU3lFZ0lUQzBrcmV0OVp4NlBtUjJlTUd3N2s2T0RLcm9QUXpUdldJMDNSODlESTJ4WU00SzBaV0Zlb1hpREQ1S3pLRzFHdFdoazhDZlo0VzRNaEs2UQ?oc=5,Google News Suche: Volkswagen Group,search_fallback,VW,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,52,niedrig,Firmenalias im Titel,False
2026-07-13 11:58:00,VOW3.DE,Stellenabbau bei VW: Konzernspitze nennt offenbar erstmals konkrete Zahlen - Personalwirtschaft,https://news.google.com/rss/articles/CBMi2wFBVV95cUxNR3ZfVzVoMXI0TzloZW92VVhFNTVEYXl3MzdyNVdlUG9YdS1icTNMQURZd1R3bHpOVDlaY3FvTWFBM1lmajFOTW84MDNEQlhQb3ZvcjA5MTBDelFSam9La3BKclpCY1Jwc3AtUUhmTWQ2RXlIUERURlllZkZRbG9LZVpKbVFjRTYxYmRhYjhOdFRYOGtBSWdtMHQ4VTFYZlAyS2VuVzZ6aV9UWDZfTDBrYllOd3diOXZRcmxJMlV0SUJBdnZqb3Z3TGVNT3JoY25CQnFOSDVYeG9mVjg?oc=5,Google News Suche: Volkswagen Group,search_fallback,VW,-4,negativ,mittel,Negativ: stellenabbau,news,52,niedrig,Firmenalias im Titel,False
2026-07-13 11:10:33,VOW3.DE,VW-Chef Blume: Bis zu 50.000 Stellen könnten wegfallen,https://www.tagesschau.de/wirtschaft/unternehmen/vw-blume-sparplaene-100.html,Tagesschau Wirtschaft,global,VW,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,52,niedrig,Firmenalias im Titel,False
2026-07-12 07:18:23,VOW3.DE,Volkswagen: Blume rudert bei Werksschließungen zurück – Betriebsrat kritisiert - WAZ-ONLINE.de,https://news.google.com/rss/articles/CBMi4AFBVV95cUxOZTdvVF9UR3hmbThycTdvRlRVZ2dnR2JjM1BxWlYzUUlQWVVqeWZhN2xVYUJET0JWS0E1bnlCWFNNdW9zZ1BjTFBGX0Q0bTlfcVBaUHNBdk9uMUZvdjdHc3V0bGlQSTZrZV9YTzFHMFZJaEFHOGJWNW9SQUVKNFFaNnd3OFhQYkRyVFJuQU5WX2NmOF80eDdvTWhZbGZqUzdCTnpGc3lWTzRvZXZsVldoN2FwOVdCUUhidUJXOHV3MUZQdTJwTm94a0pZUl9QaGJIWjRuYVBob3p0bkMyN0U4ONIB_AFBVV95cUxOWTJGaEFsZWFWbURmbFF4V1ZLNFUzY2ZuQ0czWENJMVFRbTRZa1BIa0hRb3k0QjNxaHRCUDNDbnhEeldCVk82OHpXUkNVRmNvU0cwTDVOdm50NW82cGpyQzlDcHZXXzlLTTFmZFhoRU5qZW4yYkVLWGdFbzk4ZDR5REl2V2NWSVk2WVowd0pJVm5QWWd5U09yNEY4cXhXNUdLOTNYZzZ4NWNPU0ljUUFjNk0ydzZBRkN5SmJSbGp4NFpneTJ5SzlPb1V5VnBNT3ZQYTIzbGFjdDJIUW9fb2dveWI5LUVNZkxONzhLRklOWDNiYlZ3Q2tnN1JZbm4?oc=5,Google News Suche: Volkswagen Group,search_fallback,Volkswagen,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,82,mittel,Firmenalias im Titel,True
2026-07-12 02:35:03,VOW3.DE,"VW-Chef sieht ""intelligentere Lösungen"" als Werksschließungen",https://www.tagesschau.de/wirtschaft/unternehmen/vw-krise-blume-100.html,Tagesschau Wirtschaft,global,VW,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,52,niedrig,Firmenalias im Titel,False
2026-07-11 07:41:53,VOW3.DE,VW-Aktie bleibt mit dem E-Auto-Programm im Blick - Ad-hoc-news.de,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNbmgxQTVEa2RWeEhva201dWY4RE1XY1VWeUwwRWVTendVdzdyTnk0VXM5MHJQVEVaRm1QMHhPUmpGZWtRSU9raFExNXh1WG1aM2RVQ2F1a2x0MERPSU1FR3ZaLU9VOVR3bzRfVk9tYlMwZ2N2WUxUNjlEVl9rUTkzMFlJMG5VN0UtMk5ud0JfdV8xREFnMzY3ZXUtT1NvSzBzMk5kS3o4clRQbnM?oc=5,Google News Suche: Volkswagen Group,search_fallback,VW,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,71,mittel,Firmenalias im Titel · Finanz-/Unternehmenskontext: aktie,True
2026-07-10 15:34:00,VOW3.DE,Volkswagen-Konzern: Massiver Absatzverlust in China - Motor1.com Deutschland,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQR05KLUUxUEVOd0c2SnhudzE4Tl9RdHRFb3JsOXg0aVJzNjUwSlhFUEZMMlNMeFhiWHFNb0tIMlFBSW1vS1d1WTh5SktFZnNsM3BleW41X2R4b2dpZnZFRkZ2NXpQM2Y1ZWNKVm1RdHE3VTFFT1cxc2t1dGx6MFVXZFljbGVyX3dxaHlz?oc=5,Google News Suche: Volkswagen Group,search_fallback,Volkswagen,0,neutral,niedrig,Keine eindeutige richtungsweisende Phrase erkannt.,news,82,mittel,Firmenalias im Titel,True
